Length,MN,CR,ND,NY
6,,,0.100,
6.25,,,0.125,
6.5,,,0.150,
6.75,,,0.175,
7,,,0.200,
7.25,,,0.225,
7.5,,,0.250,
7.75,,,0.275,
8,,,0.300,
8.25,,,0.325,
8.5,,,0.350,
8.75,,,0.375,
9,,,0.400,
9.25,,,0.425,
9.5,,,0.450,
9.75,,,0.475,
10,,,0.500,0.500
10.25,,,0.550,0.531
10.5,,,0.600,0.563
10.75,,,0.650,0.594
11,,,0.700,0.625
11.25,,,0.750,0.656
11.5,,,0.800,0.688
11.75,,,0.850,0.750
12,1.000,,0.900,0.813
12.25,1.075,,0.975,0.875
12.5,1.150,,1.050,0.938
12.75,1.225,,1.125,1.000
13,1.300,,1.200,1.063
13.25,1.400,,1.275,1.125
13.5,1.500,,1.350,1.188
13.75,1.600,,1.425,1.250
14,1.700,,1.500,1.313
14.25,1.800,,1.575,1.375
14.5,1.900,,1.650,1.438
14.75,2.000,,1.725,1.531
15,2.100,,1.800,1.625
15.25,2.200,,1.900,1.688
15.5,2.300,,2.000,1.750
15.75,2.400,,2.100,1.844
16,2.500,,2.200,1.938
16.25,2.625,,2.300,2.031
16.5,2.750,,2.400,2.125
16.75,2.875,,2.500,2.250
17,3.000,,2.600,2.375
17.25,3.150,,2.750,2.469
17.5,3.300,,2.900,2.563
17.75,3.450,,3.050,2.688
18,3.600,,3.200,2.813
18.25,3.750,,3.325,2.938
18.5,3.900,,3.450,3.063
18.75,4.050,,3.575,3.188
19,4.200,,3.700,3.313
19.25,4.400,,3.875,3.438
19.5,4.600,,4.050,3.563
19.75,4.800,,4.225,3.719
20,5.000,,4.400,3.875
20.25,5.175,,4.575,4.031
20.5,5.350,,4.750,4.188
20.75,5.525,,4.925,4.344
21,5.700,,5.100,4.500
21.25,5.925,,5.300,4.656
21.5,6.150,,5.500,4.813
21.75,6.375,,5.700,5.000
22,6.600,,5.900,5.188
22.25,6.850,,6.125,5.344
22.5,7.100,,6.350,5.500
22.75,7.350,,6.575,5.719
23,7.600,,6.800,5.938
23.25,,,7.025,6.125
23.5,,,7.250,6.313
23.75,,,7.475,6.531
24,,,7.700,6.750
24.25,,,,6.969
24.5,,,,7.188
24.75,,,,7.406
25,,,,7.625